user,gesture,sequence,x,y,z,time
3,0,10,-1.1235097740452982,0.638510065697311,0.3502043373842234,641.0
3,0,10,-1.2105548213527535,0.6100178146032328,0.352586265874103,689.0
3,0,10,-1.2930396246791132,0.5852728436983986,0.3544035890923079,721.0
3,0,10,-1.3619771666177292,0.4916339111533862,0.3557621705272762,753.0
3,0,10,-1.4524924483693356,0.4322373665445674,0.3563444197136913,785.0
3,0,10,-1.5090394737349253,0.28482280967460194,0.3562032683957724,817.0
3,0,10,-1.5765533297477357,0.2008751189983236,0.3520745923466474,849.0
3,0,10,-1.6529429777042404,0.1363745203386382,0.3368655378408975,881.0
3,0,10,-1.7242162543648811,0.04226179374670996,0.310629036622741,913.0
3,0,10,-1.7904176499148396,-0.027644364266424887,0.2672426502774512,946.0
3,0,10,-1.8271220526895138,-0.1441546276216496,0.22343280997840456,977.0
3,0,10,-1.854616987131634,-0.24261764500798738,0.177417480336877,1009.0
3,0,10,-1.8739257275003716,-0.37448314270189514,0.12866734391067244,1041.0
3,0,10,-1.890720772406359,-0.4515177475118099,0.07723533244401103,1089.0
3,0,10,-1.8998190152759606,-0.541086358471954,0.026562009311163412,1121.0
3,0,10,-1.8997522799981885,-0.6858304398047572,-0.019506252074583275,1153.0
3,0,10,-1.893278958054291,-0.7985288146916131,-0.06560980128981067,1186.0
3,0,10,-1.879620471203594,-0.8949889754250793,-0.1117133505050371,1217.0
3,0,10,-1.8597111133349071,-0.9649812778103806,-0.15836386107719988,1249.0
3,0,10,-1.8144423499128084,-1.0662224511990888,-0.20432625897450737,1282.0
3,0,10,-1.7580510401953537,-1.1378084244694708,-0.24667165435014649,1313.0
3,0,10,-1.6815724118684863,-1.214692276628094,-0.2875526048023781,1345.0
3,0,10,-1.6027802939121851,-1.2825740418953158,-0.32695146641646183,1377.0
3,0,10,-1.5158019818825017,-1.3366942437089349,-0.3656269275262115,1409.0
3,0,10,-1.4214827892978832,-1.3785819446749077,-0.40433767646544194,1443.0
3,0,10,-1.3275417632873072,-1.4073757010715686,-0.44204272226450037,1490.0
3,0,10,-1.237226687369017,-1.431043867324321,-0.4787067770939072,1523.0
3,0,10,-1.113099070712845,-1.4802538399244485,-0.5137475917672492,1554.0
3,0,10,-0.9992709319261724,-1.515486888140557,-0.5528994385749747,1587.0
3,0,10,-0.8823062350842094,-1.5747757522841674,-0.5863875887512093,1618.0
3,0,10,-0.7668986947235963,-1.59975762021246,-0.6151471697771644,1652.0
3,0,10,-0.6601000051955888,-1.6151128545511428,-0.6396545673508149,1682.0
3,0,10,-0.5458936998348741,-1.6338923276834452,-0.6588511465877719,1713.0
3,0,10,-0.4371596872514745,-1.6387164125247706,-0.6739896254345622,1747.0
3,0,10,-0.3147449427247872,-1.6694053451090949,-0.6845759742784717,1779.0
3,0,10,-0.2042980580119028,-1.7016233402993755,-0.69188055498077,1812.0
3,0,10,-0.09580874144700109,-1.7004603912751273,-0.6971031537437647,1844.0
3,0,10,0.004494381044518637,-1.6987375038317967,-0.7007907319243936,1890.0
3,0,10,0.09009349733357787,-1.644595765925136,-0.7034902508795907,1923.0
3,0,10,0.17709405445585197,-1.5806551056845328,-0.7055016571599336,1956.0
3,0,10,0.2607800927821099,-1.5552209798023666,-0.7065602920443247,1988.0
3,0,10,0.3320756145353414,-1.5385305076951021,-0.7065426481295843,2018.0
3,0,10,0.4047058418440157,-1.4991409935219588,-0.7041607196397047,2049.0
3,0,10,0.45193217341409697,-1.4569733233464452,-0.694862376571804,2084.0
3,0,10,0.5092577770203613,-1.377978934069742,-0.6755246460169292,2114.0
3,0,10,0.5765714271998554,-1.214584596162886,-0.6515465658854737,2147.0
3,0,10,0.6108511148821424,-1.1373992387016798,-0.6194169971442074,2178.0
3,0,10,0.6554080353413382,-1.0591586126814336,-0.5821177613841654,2212.0
