0,1,2,3,4,5,6
1,0,2,0.083249,-0.01514,0.252221,263.0
1,0,2,0.084035,-0.011678,0.252222,293.0
1,0,2,0.084336,-0.006965,0.252222,340.0
1,0,2,0.084259,-0.001359,0.252222,373.0
1,0,2,0.084024,0.003962,0.252222,404.0
1,0,2,0.082275,0.012813,0.252224,437.0
1,0,2,0.081007,0.018879,0.252249,468.0
1,0,2,0.078973,0.025051,0.25234,500.0
1,0,2,0.076936,0.033133,0.252528,531.0
1,0,2,0.074217,0.042322,0.252883,567.0
1,0,2,0.071337,0.047178,0.253513,598.0
1,0,2,0.067499,0.053303,0.254389,627.0
1,0,2,0.063904,0.060978,0.255534,659.0
1,0,2,0.059545,0.066191,0.257052,692.0
1,0,2,0.054894,0.071518,0.259128,741.0
1,0,2,0.051028,0.073991,0.261659,771.0
1,0,2,0.045897,0.081772,0.263792,803.0
1,0,2,0.041135,0.082511,0.266239,837.0
1,0,2,0.035437,0.084159,0.26873,869.0
1,0,2,0.029546,0.084889,0.271726,899.0
1,0,2,0.023035,0.08528,0.275038,931.0
1,0,2,0.018221,0.085544,0.277614,964.0
1,0,2,0.012825,0.086138,0.27987,995.0
1,0,2,0.008494,0.085703,0.281977,1027.0
1,0,2,0.003778,0.084941,0.2839,1061.0
1,0,2,-0.000479,0.082844,0.285455,1108.0
1,0,2,-0.003863,0.079047,0.286803,1139.0
1,0,2,-0.009914,0.07741,0.287934,1172.0
1,0,2,-0.014566,0.073692,0.288958,1203.0
1,0,2,-0.018606,0.070026,0.289733,1234.0
1,0,2,-0.022768,0.06474,0.290342,1271.0
1,0,2,-0.028382,0.061584,0.290888,1299.0
1,0,2,-0.032143,0.057855,0.291317,1332.0
1,0,2,-0.036183,0.053254,0.291633,1365.0
1,0,2,-0.039747,0.050082,0.291879,1395.0
1,0,2,-0.043393,0.046817,0.292081,1427.0
1,0,2,-0.046039,0.042501,0.29224,1462.0
1,0,2,-0.048781,0.040232,0.292368,1507.0
1,0,2,-0.05149,0.037942,0.29247,1540.0
1,0,2,-0.053682,0.035078,0.292554,1571.0
1,0,2,-0.055336,0.032164,0.292621,1604.0
1,0,2,-0.056314,0.030069,0.292675,1635.0
1,0,2,-0.057002,0.026736,0.292718,1667.0
1,0,2,-0.057765,0.02373,0.292749,1699.0
1,0,2,-0.058297,0.020295,0.292771,1735.0
1,0,2,-0.058453,0.016719,0.29278,1764.0
1,0,2,-0.05864,0.012671,0.292778,1795.0
1,0,2,-0.0587,0.008665,0.292738,1829.0
1,0,2,-0.058584,0.004683,0.292637,1860.0
1,0,2,-0.057928,-0.000402,0.292477,1908.0
1,0,2,-0.057628,-0.004452,0.292171,1939.0
